player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
Garrett Gilbert,WAS,20,31,194,0,0,2,20,46,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,SEA,65,95,702,5,1,13,117,84,100.125,9,42,1,12,0,0,0,0,0,1,14,0,0
Ian Book,NOR,12,20,135,0,2,8,54,56,40.6,3,6,0,3,0,0,0,0,0,0,2,0,0
Jacob Eason,IND,2,5,25,0,1,0,0,10,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,MIA,141,225,1283,5,4,19,132,52,59.06,19,70,1,19,0,0,0,0,0,3,13,0,0
Jake Fromm,NYG,27,60,210,1,3,6,33,36,43.93333333333334,8,65,0,27,0,0,0,0,0,1,35,0,0
Jalen Hurts,PHI,265,432,3144,16,9,26,150,91,87.30666666666667,139,784,10,31,1,0,0,0,0,2,142,0,0
Jameis Winston,NOR,95,161,1170,14,3,11,69,72,98.25714285714287,32,166,1,20,0,0,0,0,0,1,53,0,0
Jared Goff,DET,332,494,3245,19,8,35,280,63,92.69285714285716,17,87,0,26,0,0,0,0,0,6,2,0,0
Jimmy Garoppolo,SFO,301,441,3810,20,12,29,201,83,100.5,38,51,3,7,0,0,0,0,0,3,11,0,0
